Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time_Days,Stay_Length_Days,Total_Guests,Total_Bill_amount,Booking_month,Booking_dayofweek,Checkin_month,Checkin_dayofweek
M,59,caucasian,College,<25K,South,Resort,2,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,226,47,1,4,203.4,8,3,10,1
M,21,Asian American,Mid-School,<25K,North,Resort,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,10,133,50,1,4,119.7,8,0,10,1
F,47,African American,Mid-School,<25K,South,Airport Hotels,1,2,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,No,0,240,22,2,3,480.0,9,2,10,3
M,42,Asian American,College,25K --50K,South,Airport Hotels,2,1,0,HB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,132,43,2,3,250.79999999999998,8,2,10,3
M,36,African American,Mid-School,50K -- 100K,South,Resort,1,3,0,BB,Yes,No,Non-Refundable,Online,Yes,Check-In,Yes,10,184,77,1,4,165.6,7,3,10,3
F,55,Asian American,College,>100K,East,Resort,1,1,0,BB,Yes,No,Refundable,Online,No,Check-In,Yes,5,234,42,3,2,666.9,8,3,10,3
F,58,caucasian,Grad,<25K,South,Resort,2,1,0,BB,Yes,Yes,No Deposit,Agent,No,Check-In,No,0,125,114,1,3,125.0,6,1,10,3
M,41,Asian American,Grad,50K -- 100K,East,Resort,2,2,0,BB,Yes,Yes,Non-Refundable,Direct,Yes,Check-In,Yes,10,219,112,1,4,197.1,6,6,10,6
F,70,caucasian,College,<25K,South,Airport Hotels,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,234,100,2,3,351.0,6,4,10,6
F,53,African American,College,>100K,West,Resort,2,1,0,BB,Yes,No,Non-Refundable,Online,No,Check-In,Yes,5,231,112,1,3,219.45,6,6,10,6
F,41,Asian American,College,25K --50K,West,Resort,1,2,1,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,40,149,27,2,3,178.79999999999998,8,5,9,4
M,26,Latino,High-School,25K --50K,South,Resort,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,148,113,2,4,251.6,6,1,10,2
M,25,Asian American,College,>100K,South,Airport Hotels,2,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,235,17,3,3,564.0,9,1,10,4
M,25,caucasian,High-School,50K -- 100K,North,City Hotel,2,1,0,HB,No,No,Refundable,Agent,Yes,Check-In,Yes,15,154,54,2,3,261.8,8,6,10,4
M,42,caucasian,College,<25K,West,City Hotel,3,1,0,BB,Yes,No,Refundable,Online,Yes,Check-In,Yes,20,163,49,1,4,130.4,8,4,10,4
M,35,Latino,High-School,25K --50K,West,City Hotel,2,1,1,BB,No,No,No Deposit,Online,No,Check-In,Yes,5,143,50,3,3,407.54999999999995,8,3,10,4
F,60,Asian American,College,<25K,West,City Hotel,1,1,1,BB,Yes,Yes,Refundable,Direct,Yes,Check-In,Yes,15,129,45,1,2,109.64999999999999,8,1,10,4
M,33,African American,College,>100K,West,City Hotel,2,1,0,HB,No,No,Refundable,Online,No,Check-In,Yes,20,151,62,1,3,120.80000000000001,8,5,10,4
M,67,African American,Mid-School,50K -- 100K,South,City Hotel,2,1,2,BB,No,No,No Deposit,Online,No,Check-In,No,0,104,55,1,3,104.0,8,6,10,5
F,45,African American,College,>100K,South,City Hotel,2,1,0,BB,Yes,No,Non-Refundable,Online,Yes,Check-In,Yes,5,216,47,2,3,410.4,8,0,10,5
M,18,African American,Mid-School,<25K,East,Airport Hotels,1,3,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,5,221,54,2,4,419.9,8,0,10,5
M,63,Latino,High-School,25K --50K,North,Airport Hotels,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,175,86,1,4,157.5,5,0,8,2
F,47,African American,Mid-School,<25K,North,Airport Hotels,1,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,15,216,84,3,2,550.8,5,2,8,2
F,29,African American,High-School,<25K,South,City Hotel,2,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,204,2,3,3,489.6,10,4,10,6
M,20,African American,High-School,<25K,South,Airport Hotels,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,235,84,3,2,669.75,5,2,8,2
M,65,Asian American,College,25K --50K,East,Airport Hotels,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,No,0,207,3,1,4,207.0,9,6,9,2
F,70,caucasian,High-School,50K -- 100K,North,City Hotel,2,2,1,BB,No,No,No Deposit,Direct,No,Check-In,No,0,119,2,2,4,238.0,9,0,9,2
M,64,Asian American,College,<25K,East,City Hotel,1,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,154,188,4,3,616.0,4,3,10,2
M,47,African American,College,<25K,West,City Hotel,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,217,190,2,3,434.0,3,1,10,2
M,35,caucasian,College,50K -- 100K,South,City Hotel,1,3,0,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,245,38,1,4,183.75,8,6,10,2
M,59,caucasian,Grad,25K --50K,West,Airport Hotels,2,1,0,BB,No,No,Refundable,Online,No,Check-In,No,0,107,22,3,3,321.0,9,1,10,2
M,44,caucasian,College,50K -- 100K,East,Resort,2,2,1,BB,Yes,No,Refundable,Direct,Yes,Check-In,No,0,131,191,1,4,131.0,3,0,10,2
M,49,Asian American,College,<25K,South,Airport Hotels,1,2,0,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,40,153,52,1,3,91.8,8,6,10,2
F,58,African American,Mid-School,<25K,South,Resort,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,223,17,2,2,356.8,9,2,10,5
M,24,African American,College,<25K,South,Airport Hotels,1,1,1,HB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,221,60,1,2,209.95,8,4,10,1
M,68,Latino,College,<25K,North,Airport Hotels,2,2,0,BB,Yes,Yes,No Deposit,Direct,Yes,Check-In,Yes,20,199,50,3,4,477.6,8,4,10,5
F,57,African American,High-School,50K -- 100K,East,City Hotel,1,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,152,50,1,2,144.4,8,4,10,5
M,66,caucasian,Mid-School,>100K,South,Resort,3,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,204,123,1,4,163.20000000000002,6,1,10,5
M,34,caucasian,College,>100K,North,Airport Hotels,1,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,5,119,23,2,3,226.1,9,3,10,5
F,69,Latino,High-School,50K -- 100K,East,Resort,1,2,1,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,40,231,46,3,3,415.8,7,6,8,3
F,62,caucasian,High-School,50K -- 100K,South,Airport Hotels,2,2,0,BB,No,No,Refundable,Agent,No,Check-In,No,0,126,52,1,4,126.0,8,2,10,5
F,50,Latino,Mid-School,>100K,East,Resort,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,5,180,12,2,4,342.0,9,0,10,5
F,38,Latino,Grad,50K -- 100K,South,Airport Hotels,3,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,241,162,1,4,241.0,5,4,10,5
F,40,caucasian,Grad,50K -- 100K,West,Resort,2,2,1,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,234,1,1,4,222.29999999999998,10,6,10,0
F,59,Latino,High-School,25K --50K,North,City Hotel,1,3,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,121,32,2,4,217.8,8,0,9,4
M,41,African American,Mid-School,<25K,North,Resort,1,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,5,171,23,3,3,487.34999999999997,9,4,10,6
F,66,Latino,College,50K -- 100K,North,City Hotel,1,2,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,40,115,74,1,3,69.0,8,5,10,2
M,59,Asian American,College,25K --50K,South,Airport Hotels,2,2,1,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,101,53,1,4,80.80000000000001,8,6,10,3
M,43,African American,Mid-School,25K --50K,South,City Hotel,2,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,156,166,4,3,624.0,2,6,7,4
F,49,African American,Grad,<25K,South,Resort,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,227,169,1,4,227.0,1,3,7,4
M,49,caucasian,College,<25K,South,Airport Hotels,3,1,1,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,124,168,2,4,198.4,1,4,7,4
M,38,African American,Mid-School,25K --50K,North,City Hotel,2,2,1,BB,No,No,No Deposit,Agent,No,Check-In,Yes,20,209,169,1,4,167.20000000000002,1,3,7,4
M,34,African American,High-School,>100K,South,Resort,2,2,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,10,126,169,1,4,113.4,1,3,7,4
F,23,Latino,College,50K -- 100K,East,Airport Hotels,3,1,0,BB,No,No,Refundable,Agent,No,Check-In,No,0,142,169,1,4,142.0,1,3,7,4
F,55,Asian American,College,25K --50K,South,City Hotel,1,2,1,BB,No,No,No Deposit,Online,No,Check-In,Yes,30,152,168,2,3,212.79999999999998,1,4,7,4
F,33,Latino,College,25K --50K,South,Airport Hotels,2,1,1,BB,Yes,Yes,No Deposit,Online,No,Check-In,Yes,25,181,169,1,3,135.75,1,3,7,4
F,30,Latino,High-School,50K -- 100K,North,City Hotel,1,2,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,10,124,67,2,3,223.20000000000002,8,0,10,4
M,54,African American,College,50K -- 100K,South,City Hotel,1,3,1,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,10,211,65,4,4,759.6,8,2,10,4
M,20,Latino,College,<25K,South,Resort,1,2,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,131,88,2,3,262.0,7,2,10,6
M,42,Latino,High-School,50K -- 100K,South,City Hotel,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,182,4,3,3,491.40000000000003,10,4,10,1
F,49,Asian American,High-School,<25K,West,Airport Hotels,2,2,0,HB,Yes,No,Refundable,Direct,No,Check-In,Yes,20,143,68,1,4,114.4,7,4,10,2
M,57,Latino,Grad,25K --50K,East,Resort,1,2,0,BB,No,No,No Deposit,Agent,No,Check-In,No,0,106,6,1,3,106.0,9,5,10,4
M,63,Asian American,College,25K --50K,South,City Hotel,2,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,40,104,9,1,4,62.4,9,2,10,4
F,63,African American,Grad,50K -- 100K,South,Resort,3,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,110,9,1,4,99.0,9,2,10,4
M,31,caucasian,College,50K -- 100K,South,City Hotel,2,1,1,BB,Yes,No,Refundable,Online,No,Check-In,No,0,107,51,1,3,107.0,8,5,10,0
M,25,Latino,Mid-School,25K --50K,East,City Hotel,1,1,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,40,241,12,2,2,289.2,9,2,10,0
F,61,caucasian,Mid-School,50K -- 100K,North,Airport Hotels,2,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,121,15,2,4,181.5,9,6,10,0
F,37,Asian American,High-School,25K --50K,South,Airport Hotels,1,2,1,HB,Yes,No,No Deposit,Online,No,Check-In,No,0,236,73,1,3,236.0,5,5,8,1
F,60,African American,Mid-School,50K -- 100K,East,Resort,3,1,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,10,134,71,3,4,361.8,6,0,8,1
M,65,caucasian,College,25K --50K,East,Resort,1,3,0,HB,No,No,No Deposit,Direct,Yes,Check-In,No,0,129,73,1,4,129.0,5,5,8,1
M,28,Asian American,High-School,<25K,West,Airport Hotels,2,1,1,HB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,224,72,2,3,448.0,5,6,8,1
F,54,caucasian,Grad,<25K,South,City Hotel,2,2,0,HB,No,No,No Deposit,Agent,Yes,Check-In,Yes,5,204,205,2,4,387.59999999999997,3,1,10,3
M,42,caucasian,College,25K --50K,South,City Hotel,1,1,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,5,249,42,1,2,236.54999999999998,7,4,9,4
F,56,Latino,College,25K --50K,East,City Hotel,2,2,1,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,10,140,68,2,4,252.0,7,4,10,2
F,27,African American,College,50K -- 100K,West,Resort,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,100,89,2,2,200.0,5,6,8,4
F,55,African American,Grad,50K -- 100K,South,Resort,1,3,0,BB,No,No,No Deposit,Online,No,Check-In,No,0,148,40,3,4,444.0,8,0,10,5
M,42,African American,High-School,<25K,South,Airport Hotels,2,1,0,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,209,1,2,3,418.0,10,2,10,3
F,32,caucasian,Grad,25K --50K,West,City Hotel,1,1,2,HB,No,No,No Deposit,Agent,No,Check-In,Yes,10,137,85,2,2,246.6,7,0,10,1
F,56,African American,Mid-School,25K --50K,East,Resort,1,1,0,HB,Yes,Yes,No Deposit,Direct,Yes,Check-In,Yes,20,140,82,2,2,224.0,7,3,10,1
M,18,Asian American,Mid-School,50K -- 100K,South,City Hotel,1,1,1,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,20,131,120,3,2,314.40000000000003,6,0,10,1
F,66,Asian American,Grad,50K -- 100K,West,Resort,2,1,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,5,154,2,2,3,292.59999999999997,10,5,10,0
M,33,Asian American,Grad,50K -- 100K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,159,12,1,2,143.1,9,5,10,3
M,22,caucasian,College,50K -- 100K,South,Airport Hotels,1,1,0,BB,Yes,Yes,No Deposit,Direct,Yes,Check-In,Yes,20,206,3,1,2,164.8,10,4,10,0
F,29,Latino,College,50K -- 100K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,106,3,1,2,106.0,10,4,10,0
F,34,Latino,College,25K --50K,South,Resort,1,2,2,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,177,32,1,3,141.6,9,0,10,4
M,63,caucasian,Mid-School,<25K,East,Airport Hotels,2,1,0,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,30,137,12,1,3,95.89999999999999,9,6,10,4
F,19,African American,Grad,25K --50K,East,Resort,1,1,1,BB,Yes,No,Refundable,Agent,Yes,Check-In,Yes,5,184,19,2,2,349.59999999999997,9,6,10,4
M,48,African American,College,>100K,North,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,159,5,1,3,127.2,10,5,10,3
F,26,caucasian,Mid-School,>100K,South,Resort,2,1,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,15,185,18,3,3,471.75,9,0,10,4
M,29,caucasian,Mid-School,25K --50K,West,Airport Hotels,3,1,1,BB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,153,174,1,4,153.0,4,3,10,2
F,50,Latino,High-School,25K --50K,West,Resort,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,141,157,1,4,112.80000000000001,5,6,10,2
M,42,caucasian,College,25K --50K,West,Airport Hotels,2,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,181,10,1,3,144.8,10,6,10,2
F,53,Latino,Grad,<25K,East,Airport Hotels,1,1,1,BB,No,No,No Deposit,Direct,No,Check-In,Yes,25,110,15,1,2,82.5,9,3,9,4
M,47,caucasian,College,<25K,West,Airport Hotels,1,3,1,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,156,172,2,4,280.8,4,5,10,2
M,46,Asian American,College,50K -- 100K,North,Resort,2,1,1,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,242,173,1,3,217.8,4,4,10,2
F,29,Asian American,College,<25K,East,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,205,1,2,4,369.0,10,3,10,4
F,28,caucasian,High-School,>100K,South,City Hotel,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,217,21,1,3,217.0,9,3,10,3
M,62,Latino,College,<25K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,145,31,2,2,203.0,9,3,10,6
M,19,Asian American,College,25K --50K,East,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,106,2,1,3,100.69999999999999,10,4,10,6
F,47,African American,High-School,25K --50K,West,Airport Hotels,2,1,1,BB,Yes,No,Refundable,Online,No,Check-In,Yes,20,156,75,2,3,249.60000000000002,7,1,10,6
M,51,Latino,High-School,50K -- 100K,North,Resort,1,2,1,BB,Yes,No,No Deposit,Direct,No,Check-In,Yes,10,118,43,1,3,106.2,8,5,10,6
M,37,caucasian,Mid-School,50K -- 100K,East,Airport Hotels,1,3,1,BB,Yes,No,Refundable,Online,Yes,Check-In,Yes,10,192,8,1,4,172.8,10,5,10,6
F,57,caucasian,College,25K --50K,North,Airport Hotels,2,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,141,31,2,3,282.0,9,3,10,6
F,44,African American,Grad,<25K,South,City Hotel,1,1,0,BB,No,No,Refundable,Direct,No,Check-In,Yes,10,221,1,2,2,397.8,10,5,10,6
F,41,Latino,Grad,50K -- 100K,South,City Hotel,1,3,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,20,162,75,2,4,259.2,7,1,10,6
F,68,caucasian,College,<25K,South,Airport Hotels,2,2,1,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,10,119,75,2,4,214.20000000000002,7,5,10,3
F,58,African American,College,>100K,North,Airport Hotels,1,1,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,20,242,70,1,2,193.60000000000002,8,6,10,6
M,27,African American,College,>100K,North,Airport Hotels,2,1,0,BB,No,No,No Deposit,Agent,No,Check-In,Yes,5,173,28,1,3,164.35,9,0,10,0
M,28,Asian American,College,25K --50K,West,City Hotel,2,2,1,BB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,20,241,7,3,4,578.4,10,3,10,3
M,21,African American,High-School,50K -- 100K,North,Resort,2,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,5,206,20,2,4,391.4,9,4,10,3
F,39,caucasian,Grad,50K -- 100K,West,Airport Hotels,2,2,1,BB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,5,103,128,4,4,391.4,6,5,10,0
M,61,African American,Grad,<25K,South,Airport Hotels,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,176,7,3,3,475.2,10,3,10,3
M,53,caucasian,High-School,25K --50K,East,City Hotel,1,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,157,93,1,4,157.0,4,6,7,1
F,51,Asian American,High-School,<25K,South,Resort,1,2,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,10,158,12,4,3,568.8000000000001,9,0,10,5
F,68,Latino,Grad,50K -- 100K,South,Airport Hotels,1,2,0,BB,Yes,No,Refundable,Online,Yes,Check-In,Yes,10,135,76,1,3,121.5,7,0,10,6
M,67,Latino,College,25K --50K,East,Resort,2,1,1,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,20,126,75,2,3,201.60000000000002,7,1,10,6
M,42,Asian American,College,25K --50K,West,Resort,1,3,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,20,203,33,1,4,162.4,9,1,10,6
F,49,African American,College,<25K,East,City Hotel,1,1,2,BB,No,No,No Deposit,Online,No,Check-In,No,0,102,2,2,2,204.0,10,4,10,6
F,34,African American,Mid-School,<25K,West,Resort,1,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,199,77,1,4,199.0,5,3,7,3
F,58,African American,Mid-School,<25K,South,Resort,2,2,0,BB,No,No,Non-Refundable,Agent,No,Check-In,Yes,20,149,76,1,4,119.2,7,4,10,3
M,51,caucasian,College,25K --50K,South,City Hotel,2,1,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,184,75,2,3,276.0,7,1,10,6
M,38,Latino,Mid-School,50K -- 100K,West,Resort,2,1,2,FB,No,No,No Deposit,Direct,No,Check-In,Yes,10,136,75,3,3,367.2,5,6,8,4
M,23,African American,Grad,25K --50K,East,City Hotel,2,1,1,FB,Yes,Yes,Non-Refundable,Direct,Yes,Check-In,Yes,5,105,77,1,3,99.75,5,4,8,4
M,44,caucasian,College,50K -- 100K,West,Airport Hotels,3,1,1,FB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,201,74,4,4,804.0,6,0,8,4
F,63,Asian American,Grad,50K -- 100K,West,Resort,1,1,1,FB,No,No,No Deposit,Online,Yes,Check-In,No,0,225,77,1,2,225.0,5,4,8,4
M,28,caucasian,College,50K -- 100K,South,Airport Hotels,2,2,1,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,159,59,4,4,636.0,8,4,10,0
F,50,Asian American,Mid-School,<25K,South,Resort,1,1,1,FB,No,No,Refundable,Agent,No,Check-In,Yes,25,221,77,1,2,165.75,5,4,8,4
F,46,Latino,High-School,>100K,South,Airport Hotels,3,1,1,BB,No,No,No Deposit,Direct,No,Check-In,No,0,212,7,1,4,212.0,10,0,10,0
F,47,Asian American,High-School,>100K,South,Resort,1,1,1,BB,No,No,Non-Refundable,Agent,No,Check-In,Yes,25,139,65,2,2,208.5,8,4,10,6
F,66,caucasian,High-School,50K -- 100K,South,Airport Hotels,2,2,0,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,5,133,20,1,4,126.35,9,1,10,0
M,67,African American,Grad,<25K,East,City Hotel,2,2,0,HB,Yes,No,Refundable,Online,Yes,Check-In,No,0,222,12,1,4,222.0,9,2,10,0
F,47,Asian American,High-School,25K --50K,West,Resort,3,1,1,FB,No,No,Non-Refundable,Online,No,Check-In,Yes,10,130,74,4,4,468.0,6,0,8,4
M,35,caucasian,College,25K --50K,South,City Hotel,1,1,1,FB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,215,77,1,2,204.25,5,4,8,4
F,64,African American,Grad,>100K,North,Airport Hotels,1,2,0,FB,Yes,No,No Deposit,Online,No,Check-In,Yes,30,223,77,1,3,156.1,5,4,8,4
F,52,caucasian,College,<25K,South,City Hotel,2,2,0,FB,No,No,No Deposit,Online,No,Check-In,Yes,10,150,75,3,4,405.0,5,6,8,4
M,64,caucasian,College,>100K,East,City Hotel,3,1,1,FB,No,No,Refundable,Online,No,Check-In,No,0,174,77,1,4,174.0,5,4,8,4
M,38,Latino,Mid-School,25K --50K,North,Resort,2,2,0,FB,No,No,No Deposit,Online,No,Check-In,No,0,190,75,3,4,570.0,5,6,8,4
F,37,African American,College,50K -- 100K,East,Resort,2,2,1,FB,No,No,Refundable,Agent,Yes,Check-In,Yes,30,191,74,4,4,534.8,6,0,8,4
M,46,Latino,High-School,25K --50K,East,Resort,1,2,0,FB,Yes,No,No Deposit,Agent,No,Check-In,Yes,25,106,77,1,3,79.5,5,4,8,4
F,18,Latino,College,>100K,North,Airport Hotels,2,1,1,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,227,75,3,3,612.9,5,6,8,4
M,33,Asian American,Mid-School,>100K,East,City Hotel,2,1,1,BB,No,No,Refundable,Online,Yes,Check-In,No,0,238,61,2,3,476.0,8,2,10,0
M,35,caucasian,High-School,50K -- 100K,East,Airport Hotels,2,1,0,FB,No,No,Refundable,Online,No,Check-In,Yes,10,180,77,1,3,162.0,5,4,8,4
F,56,Asian American,College,<25K,West,City Hotel,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,133,62,1,4,119.7,8,1,10,0
M,45,caucasian,Grad,>100K,South,City Hotel,1,2,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,5,169,6,2,3,321.09999999999997,10,1,10,0
M,37,caucasian,High-School,25K --50K,North,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,160,22,3,3,480.0,9,6,10,0
F,21,caucasian,Mid-School,25K --50K,West,City Hotel,2,1,0,FB,No,No,Refundable,Online,Yes,Check-In,No,0,120,77,1,3,120.0,5,4,8,4
F,43,caucasian,High-School,<25K,East,Resort,1,2,0,FB,Yes,Yes,No Deposit,Online,Yes,Check-In,No,0,208,77,1,3,208.0,5,4,8,4
M,52,Latino,Grad,50K -- 100K,West,City Hotel,2,2,0,FB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,175,77,1,4,157.5,5,4,8,4
F,66,caucasian,High-School,>100K,West,City Hotel,2,2,0,FB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,126,76,2,4,252.0,5,5,8,4
F,39,Latino,College,<25K,West,Airport Hotels,1,3,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,5,175,21,1,4,166.25,9,1,10,1
M,25,African American,College,>100K,West,Resort,1,2,0,BB,Yes,No,No Deposit,Direct,No,Check-In,Yes,20,208,3,1,3,166.4,10,6,10,2
F,22,Latino,College,50K -- 100K,North,Resort,1,3,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,20,243,5,2,4,388.8,10,4,10,2
F,48,African American,College,25K --50K,East,Airport Hotels,1,3,1,BB,Yes,No,Refundable,Agent,No,Check-In,Yes,40,172,10,1,4,103.2,10,3,10,6
M,32,caucasian,College,50K -- 100K,East,City Hotel,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,111,10,1,3,111.0,10,3,10,6
M,18,Latino,Mid-School,>100K,East,City Hotel,1,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,210,34,1,3,210.0,9,6,10,5
F,19,caucasian,High-School,<25K,South,Airport Hotels,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,179,10,2,4,286.40000000000003,10,4,10,0
M,36,Latino,College,25K --50K,West,Resort,1,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,25,213,3,1,2,159.75,10,4,10,0
F,20,Asian American,Mid-School,25K --50K,South,Resort,2,2,1,HB,Yes,No,Refundable,Online,No,Check-In,Yes,10,127,4,1,4,114.3,10,3,10,0
F,32,caucasian,Mid-School,>100K,South,Resort,2,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,5,185,10,2,3,351.5,10,4,10,0
M,29,African American,Grad,50K -- 100K,South,Airport Hotels,1,1,0,HB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,200,10,1,2,200.0,10,4,10,0
M,24,African American,College,25K --50K,East,Airport Hotels,3,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,219,4,1,4,164.25,10,3,10,0
F,70,Asian American,High-School,25K --50K,South,Airport Hotels,2,2,0,BB,Yes,No,Refundable,Online,Yes,Check-In,Yes,10,202,16,3,4,545.4,9,5,10,0
F,52,Asian American,College,25K --50K,North,Resort,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,233,4,1,3,209.70000000000002,10,3,10,0
F,56,Asian American,Grad,50K -- 100K,South,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,195,2,2,3,390.0,10,5,10,0
M,68,Latino,College,50K -- 100K,East,Resort,2,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,216,3,1,4,194.4,10,4,10,0
